INSERT INTO
bookhasauthor(isbn, authorId)
(1000000290,'3'),
(1000000291,'6'),
(1000000291,'7'),
(1000000291,'19'),
(1000000292,'6'),
(1000000293,'9'),
(1000000293,'21'),
(1000000293,'22'),
(1000000294,'9'),
(1000000295,'28'),
(1000000295,'23'),
(1000000296,'28'),
(1000000297,'13'),
(1000000297,'14'),
(1000000298,'13'),
(1000000299,'1'),
(1000000299,'2'),
(1000000299,'26'),
(1000000300,'1'),
(1000000301,'17'),
(1000000302,'17'),
(1000000303,'5'),
(1000000304,'5'),
(1000000305,'6'),
(1000000306,'6'),
(1000000307,'27'),
(1000000308,'27'),
(1000000309,'9'),
(1000000309,'21'),
(1000000310,'9'),
(1000000311,'30'),
(1000000311,'10'),
(1000000312,'30'),
(1000000313,'11'),
(1000000314,'11'),
(1000000315,'29'),
(1000000315,'13'),
(1000000315,'14'),
(1000000316,'29'),
(1000000317,'1'),
(1000000318,'1'),
(1000000319,'17'),
(1000000319,'3'),
(1000000319,'4'),
(1000000320,'17'),
(1000000321,'18'),
(1000000322,'18'),
(1000000323,'19'),
(1000000323,'20'),
(1000000324,'19'),
(1000000325,'9'),
(1000000325,'21'),
(1000000326,'9'),
(1000000327,'28'),
(1000000328,'28'),
(1000000329,'29'),
(1000000329,'13'),
(1000000330,'29'),
(1000000331,'15'),
(1000000332,'15'),
(1000000333,'1'),
(1000000333,'2'),
(1000000333,'26'),
(1000000334,'1'),
(1000000335,'3'),
(1000000336,'3'),
(1000000337,'6'),
(1000000338,'6'),
(1000000339,'20'),
(1000000339,'27'),
(1000000340,'20'),
(1000000341,'9'),
(1000000341,'21'),
(1000000341,'22'),
(1000000342,'9'),
(1000000343,'23'),
(1000000344,'23'),
(1000000345,'13'),
(1000000346,'13'),
(1000000347,'25'),
(1000000347,'1'),
(1000000347,'2'),
(1000000348,'25'),
(1000000349,'16'),
(1000000349,'17'),
(1000000349,'3'),
(1000000350,'16'),
(1000000351,'18'),
(1000000351,'6'),
(1000000351,'7'),
(1000000352,'18'),
(1000000353,'8'),
(1000000353,'9'),
(1000000353,'21'),
(1000000354,'8'),
(1000000355,'30'),
(1000000355,'10'),
(1000000356,'30'),
(1000000357,'12'),
(1000000357,'29'),
(1000000358,'12'),
(1000000359,'15'),
(1000000359,'24'),
(1000000359,'25'),
(1000000360,'15'),
(1000000361,'26'),
(1000000361,'16'),
(1000000362,'26'),
(1000000363,'4'),
(1000000364,'4'),
(1000000365,'18'),
(1000000365,'6'),
(1000000366,'18'),
(1000000367,'19'),
(1000000368,'19'),
(1000000369,'8'),
(1000000369,'9'),
(1000000370,'8'),
(1000000371,'30'),
(1000000372,'30'),
(1000000373,'11'),
(1000000374,'11'),
(1000000375,'14'),
(1000000375,'15'),
(1000000376,'14'),
(1000000377,'25'),
(1000000377,'1'),
(1000000378,'25'),
(1000000379,'16'),
(1000000380,'16'),
(1000000381,'4'),
(1000000381,'5'),
(1000000381,'18'),
(1000000382,'4'),
(1000000383,'19'),
(1000000384,'19'),
(1000000385,'8'),
(1000000386,'8'),
(1000000387,'22'),
(1000000387,'30'),
(1000000387,'10'),
(1000000388,'22'),
(1000000389,'12'),
(1000000389,'29'),
(1000000390,'12'),
(1000000391,'15'),
(1000000391,'24'),
(1000000391,'25'),
(1000000392,'15'),
(1000000393,'26'),
(1000000393,'16'),
(1000000393,'17'),
(1000000394,'26'),
(1000000395,'5'),
(1000000395,'18'),
(1000000395,'6'),
(1000000396,'5'),
(1000000397,'20'),
(1000000397,'27'),
(1000000397,'8'),
(1000000398,'20'),
(1000000399,'21'),
(1000000399,'22'),
(1000000400,'21'),
(1000000401,'10'),
(1000000401,'28'),
(1000000402,'10'),
(1000000403,'11'),
(1000000403,'12'),
(1000000404,'11'),
(1000000405,'15'),
(1000000406,'15'),
(1000000407,'25'),
(1000000407,'1'),
(1000000408,'25'),
(1000000409,'26'),
(1000000410,'26'),
(1000000411,'17'),
(1000000411,'3'),
(1000000412,'17'),
(1000000413,'6'),
(1000000414,'6'),
(1000000415,'27'),
(1000000415,'8'),
(1000000416,'27'),
(1000000417,'30'),
(1000000417,'10'),
(1000000418,'30'),
(1000000419,'12'),
(1000000419,'29'),
(1000000420,'12'),
(1000000421,'15'),
(1000000421,'24'),
(1000000422,'15'),
(1000000423,'26'),
(1000000424,'26'),
(1000000425,'3'),
(1000000426,'3'),
(1000000427,'6'),
(1000000427,'7'),
(1000000428,'6'),
(1000000429,'20'),
(1000000430,'20'),
(1000000431,'21'),
(1000000431,'22'),
(1000000432,'21'),
(1000000433,'23'),
(1000000434,'23'),
(1000000435,'12'),
(1000000436,'12'),
(1000000437,'13'),
(1000000438,'13'),
(1000000439,'25'),
(1000000439,'1'),
(1000000440,'25'),
(1000000441,'26'),
(1000000441,'16'),
(1000000441,'17'),
(1000000442,'26'),
(1000000443,'4'),
(1000000443,'5'),
(1000000444,'4'),
(1000000445,'7'),
(1000000445,'19'),
(1000000446,'7'),
(1000000447,'8'),
(1000000447,'9'),
(1000000448,'8'),
(1000000449,'22'),
(1000000449,'30'),
(1000000450,'22'),
(1000000451,'11'),
(1000000452,'11'),
(1000000453,'13'),
(1000000453,'14'),
(1000000454,'13'),
(1000000455,'24'),
(1000000456,'24'),
(1000000457,'1'),
(1000000458,'1'),
(1000000459,'17'),
(1000000460,'17'),
(1000000461,'4'),
(1000000461,'5'),
(1000000462,'4'),
(1000000463,'6'),
(1000000464,'6'),
(1000000465,'20'),
(1000000465,'27'),
(1000000465,'8'),
(1000000466,'20'),
(1000000467,'22'),
(1000000467,'30'),
(1000000467,'10'),
(1000000468,'22'),
(1000000469,'12'),
(1000000469,'29'),
(1000000469,'13'),
(1000000470,'12'),
(1000000471,'15'),
(1000000471,'24'),
(1000000472,'15'),
(1000000473,'1'),
(1000000473,'2'),
(1000000474,'1'),
(1000000475,'17'),
(1000000476,'17'),
(1000000477,'18'),
(1000000478,'18'),
(1000000479,'20'),
(1000000479,'27'),
(1000000479,'8'),
(1000000480,'20'),
(1000000481,'22'),
(1000000481,'30'),
(1000000481,'10'),
(1000000482,'22'),
(1000000483,'23'),
(1000000483,'11'),
(1000000483,'12'),
(1000000484,'23'),
(1000000485,'13'),
(1000000485,'14'),
(1000000486,'13'),
(1000000487,'25'),
(1000000487,'1'),
(1000000487,'2'),
(1000000488,'25'),
(1000000489,'3'),
(1000000489,'4'),
(1000000490,'3'),
(1000000491,'6'),
(1000000491,'7'),
(1000000491,'19'),
(1000000492,'6'),
(1000000493,'27'),
(1000000493,'8'),
(1000000493,'9'),
(1000000494,'27'),
(1000000495,'10'),
(1000000496,'10'),
(1000000497,'11'),
(1000000498,'11'),
(1000000499,'13'),
(1000000499,'14'),
(1000000500,'13'),
(1000000501,'24'),
(1000000501,'25'),
(1000000501,'1'),
(1000000502,'24'),
(1000000503,'26'),
(1000000503,'16'),
(1000000504,'26'),
(1000000505,'3'),
(1000000505,'4'),
(1000000505,'5'),
(1000000506,'3'),
(1000000507,'6'),
(1000000507,'7'),
(1000000507,'19'),
(1000000508,'6'),
(1000000509,'27'),
(1000000509,'8'),
(1000000509,'9'),
(1000000510,'27'),
(1000000511,'22'),
(1000000511,'30'),
(1000000512,'22'),
(1000000513,'11'),
(1000000513,'12'),
(1000000514,'11'),
(1000000515,'15'),
(1000000515,'24'),
(1000000516,'15'),
(1000000517,'26'),
(1000000518,'26'),
(1000000519,'3'),
(1000000519,'4'),
(1000000520,'3'),
(1000000521,'18'),
(1000000521,'6'),
(1000000522,'18'),
(1000000523,'20'),
(1000000523,'27'),
(1000000524,'20'),
(1000000525,'22'),
(1000000525,'30'),
(1000000525,'10'),
(1000000526,'22'),
(1000000527,'23'),
(1000000527,'11'),
(1000000527,'12'),
(1000000528,'23'),
(1000000529,'15'),
(1000000530,'15'),
(1000000531,'1'),
(1000000532,'1'),
(1000000533,'26'),
(1000000533,'16'),
(1000000534,'26'),
(1000000535,'4'),
(1000000535,'5'),
(1000000536,'4'),
(1000000537,'19'),
(1000000537,'20'),
(1000000538,'19'),
(1000000539,'9'),
(1000000540,'9'),
(1000000541,'30'),
(1000000542,'30'),
(1000000543,'11'),
(1000000543,'12'),
(1000000544,'11'),
(1000000545,'13'),
(1000000546,'13'),
(1000000547,'24'),
(1000000547,'25'),
(1000000548,'24'),
(1000000549,'2'),
(1000000550,'2'),
(1000000551,'3'),
(1000000551,'4'),
(1000000551,'5'),
(1000000552,'3'),
(1000000553,'7'),
(1000000553,'19'),
(1000000554,'7'),
(1000000555,'9'),
(1000000556,'9'),
(1000000557,'22'),
(1000000557,'30'),
(1000000558,'22'),
(1000000559,'11'),
(1000000559,'12'),
(1000000560,'11'),
(1000000561,'13'),
(1000000561,'14'),
(1000000562,'13'),
(1000000563,'24'),
(1000000564,'24'),
(1000000565,'26'),
(1000000565,'16'),
(1000000565,'17'),
(1000000566,'26'),
(1000000567,'5'),
(1000000567,'18'),
(1000000568,'5'),
(1000000569,'20'),
(1000000569,'27'),
(1000000569,'8'),
(1000000570,'20'),
(1000000571,'30'),
(1000000571,'10'),
(1000000572,'30'),
(1000000573,'23'),
(1000000573,'11'),
(1000000574,'23'),
(1000000575,'14'),
(1000000575,'15'),
(1000000576,'14'),
(1000000577,'1'),
(1000000577,'2'),
(1000000577,'26'),
(1000000578,'1'),
(1000000579,'4'),
(1000000579,'5'),
(1000000579,'18'),
(1000000580,'4'),
(1000000581,'20'),
(1000000581,'27'),
(1000000582,'20'),
(1000000583,'21'),
(1000000584,'21'),
(1000000585,'28'),
(1000000586,'28'),
(1000000587,'29'),
(1000000588,'29'),
(1000000589,'24'),
(1000000589,'25'),
(1000000589,'1'),
(1000000590,'24'),
(1000000591,'26'),
(1000000592,'26'),
(1000000593,'17'),
(1000000593,'3'),
(1000000593,'4'),
(1000000594,'17'),
(1000000595,'6'),
(1000000595,'7'),
(1000000596,'6'),
(1000000597,'20'),
(1000000597,'27'),
(1000000597,'8'),
(1000000598,'20'),
(1000000599,'21'),
(1000000599,'22'),
(1000000599,'30'),
(1000000600,'21'),
(1000000601,'11'),
(1000000601,'12'),
(1000000601,'29'),
(1000000602,'11'),
(1000000603,'15'),
(1000000603,'24'),
(1000000604,'15'),
(1000000605,'26'),
(1000000605,'16'),
(1000000606,'26'),
(1000000607,'4'),
(1000000607,'5'),
(1000000608,'4'),
(1000000609,'19'),
(1000000609,'20'),
(1000000609,'27'),
(1000000610,'19'),
(1000000611,'21'),
(1000000611,'22'),
(1000000611,'30'),
(1000000612,'21'),
(1000000613,'23'),
(1000000613,'11'),
(1000000614,'23'),
(1000000615,'29'),
(1000000615,'13'),
(1000000615,'14'),
(1000000616,'29'),
(1000000617,'24'),
(1000000617,'25'),
(1000000617,'1'),
(1000000618,'24'),
(1000000619,'17'),
(1000000619,'3'),
(1000000619,'4'),
(1000000620,'17'),
(1000000621,'6'),
(1000000622,'6'),
(1000000623,'20'),
(1000000623,'27'),
(1000000624,'20'),
(1000000625,'21'),
(1000000626,'21'),
(1000000627,'10'),
(1000000627,'28'),
(1000000627,'23'),
(1000000628,'10'),
(1000000629,'29'),
(1000000629,'13'),
(1000000630,'29'),
(1000000631,'25'),
(1000000631,'1'),
(1000000631,'2'),
(1000000632,'25'),
(1000000633,'3'),
(1000000633,'4'),
(1000000634,'3'),
(1000000635,'18'),
(1000000635,'6'),
(1000000636,'18'),
(1000000637,'19'),
(1000000637,'20'),
(1000000637,'27'),
(1000000638,'19'),
(1000000639,'22'),
(1000000639,'30'),
(1000000639,'10'),
(1000000640,'22'),
(1000000641,'12'),
(1000000642,'12'),
(1000000643,'15'),
(1000000644,'15'),
(1000000645,'2'),
(1000000645,'26'),
(1000000646,'2'),
(1000000647,'4'),
(1000000647,'5'),
(1000000647,'18'),
(1000000648,'4'),
(1000000649,'19'),
(1000000650,'19'),
(1000000651,'27'),
(1000000651,'8'),
(1000000651,'9'),
(1000000652,'27'),
(1000000653,'22'),
(1000000654,'22'),
(1000000655,'23'),
(1000000656,'23'),
(1000000657,'29'),
(1000000657,'13'),
(1000000657,'14'),
(1000000658,'29'),
(1000000659,'1'),
(1000000660,'1'),
(1000000661,'26'),
(1000000661,'16'),
(1000000661,'17'),
(1000000662,'26'),
(1000000663,'4'),
(1000000664,'4'),
(1000000665,'18'),
(1000000666,'18'),
(1000000667,'19'),
(1000000667,'20'),
(1000000668,'19'),
(1000000669,'8'),
(1000000669,'9'),
(1000000669,'21'),
(1000000670,'8'),
(1000000671,'10'),
(1000000671,'28'),
(1000000671,'23'),
(1000000672,'10'),
(1000000673,'29'),
(1000000673,'13'),
(1000000673,'14'),
(1000000674,'29'),
(1000000675,'24'),
(1000000675,'25'),
(1000000676,'24'),
(1000000677,'26'),
(1000000678,'26'),
(1000000679,'17'),
(1000000679,'3'),
(1000000679,'4'),
(1000000680,'17'),
(1000000681,'7'),
(1000000681,'19'),
(1000000681,'20'),
(1000000682,'7'),
(1000000683,'8'),
(1000000684,'8'),
(1000000685,'22'),
(1000000685,'30'),
(1000000686,'22'),
(1000000687,'11'),
(1000000687,'12'),
(1000000688,'11'),
(1000000689,'13'),
(1000000689,'14'),
(1000000689,'15'),
(1000000690,'13'),
(1000000691,'2'),
(1000000692,'2'),
(1000000693,'16'),
(1000000694,'16'),
(1000000695,'5'),
(1000000695,'18'),
(1000000696,'5'),
(1000000697,'19'),
(1000000698,'19'),
(1000000699,'27'),
(1000000699,'8'),
(1000000699,'9'),
(1000000700,'27'),
(1000000701,'10'),
(1000000702,'10'),
(1000000703,'12'),
(1000000703,'29'),
(1000000704,'12'),
(1000000705,'14'),
(1000000705,'15'),
(1000000705,'24'),
(1000000706,'14'),
(1000000707,'26'),
(1000000707,'16'),
(1000000708,'26'),
(1000000709,'5'),
(1000000709,'18'),
(1000000710,'5'),
(1000000711,'20'),
(1000000712,'20'),
(1000000713,'9'),
(1000000714,'9'),
(1000000715,'10'),
(1000000716,'10'),
(1000000717,'11'),
(1000000717,'12'),
(1000000717,'29'),
(1000000718,'11'),
(1000000719,'24'),
(1000000719,'25'),
(1000000719,'1'),
(1000000720,'24'),
(1000000721,'26'),
(1000000722,'26'),
(1000000723,'3'),
(1000000723,'4'),
(1000000723,'5'),
(1000000724,'3'),
(1000000725,'6'),
(1000000725,'7'),
(1000000726,'6'),
(1000000727,'8'),
(1000000727,'9'),
(1000000728,'8'),
(1000000729,'30'),
(1000000730,'30'),
(1000000731,'11'),
(1000000731,'12'),
(1000000732,'11'),
(1000000733,'13'),
(1000000734,'13'),
(1000000735,'25'),
(1000000735,'1'),
(1000000735,'2'),
(1000000736,'25'),
(1000000737,'16'),
(1000000738,'16'),
(1000000739,'3'),
(1000000739,'4'),
(1000000739,'5'),
(1000000740,'3'),
(1000000741,'6'),
(1000000741,'7'),
(1000000741,'19'),
(1000000742,'6'),
(1000000743,'27'),
(1000000743,'8'),
(1000000744,'27'),
(1000000745,'21'),
(1000000746,'21'),
(1000000747,'28'),
(1000000747,'23'),
(1000000747,'11'),
(1000000748,'28'),
(1000000749,'29'),
(1000000749,'13'),
(1000000750,'29'),
(1000000751,'15'),
(1000000752,'15'),
(1000000753,'1'),
(1000000754,'1'),
(1000000755,'26'),
(1000000756,'26'),
(1000000757,'17'),
(1000000757,'3'),
(1000000758,'17'),
(1000000759,'6'),
(1000000760,'6'),
(1000000761,'27'),
(1000000761,'8'),
(1000000761,'9'),
(1000000762,'27'),
(1000000763,'10'),
(1000000763,'28'),
(1000000764,'10'),
(1000000765,'11'),
(1000000765,'12'),
(1000000766,'11'),
(1000000767,'15'),
(1000000768,'15'),
(1000000769,'2'),
(1000000769,'26'),
(1000000769,'16'),
(1000000770,'2'),
(1000000771,'4'),
(1000000771,'5'),
(1000000772,'4'),
(1000000773,'7'),
(1000000773,'19'),
(1000000774,'7'),
(1000000775,'8'),
(1000000775,'9'),
(1000000776,'8'),
(1000000777,'22'),
(1000000777,'30'),
(1000000778,'22'),
(1000000779,'23'),
(1000000780,'23'),
(1000000781,'29'),
(1000000781,'13'),
(1000000781,'14'),
(1000000782,'29'),
(1000000783,'1'),
(1000000784,'1'),
(1000000785,'16'),
(1000000785,'17'),
(1000000786,'16'),
(1000000787,'4'),
(1000000787,'5'),
(1000000788,'4'),
(1000000789,'19'),
(1000000790,'19'),
(1000000791,'9'),
(1000000791,'21'),
(1000000792,'9'),
(1000000793,'28'),
(1000000793,'23'),
(1000000794,'28'),
(1000000795,'29'),
(1000000795,'13'),
(1000000795,'14'),
(1000000796,'29'),
(1000000797,'1'),
(1000000797,'2'),
(1000000797,'26'),
(1000000798,'1'),
(1000000799,'4'),
(1000000800,'4'),
(1000000801,'18'),
(1000000801,'6'),
(1000000802,'7'),
(1000000802,'19'),
(1000000803,'20'),
(1000000803,'27'),
(1000000803,'8'),
(1000000804,'9'),
(1000000805,'21'),
(1000000805,'22'),
(1000000806,'30'),
(1000000806,'10'),
(1000000806,'28'),
(1000000807,'23'),
(1000000808,'11'),
(1000000809,'12'),
(1000000810,'29'),
(1000000810,'13'),
(1000000810,'14'),
(1000000811,'15'),
(1000000811,'24'),
(1000000812,'25'),
(1000000812,'1'),
(1000000812,'2'),
(1000000813,'26'),
(1000000813,'16'),
(1000000814,'17'),
(1000000815,'3'),
(1000000815,'4'),
(1000000816,'5'),
(1000000816,'18'),
(1000000816,'6'),
(1000000817,'7'),
(1000000818,'19'),
(1000000818,'20'),
(1000000818,'27'),
(1000000819,'8'),
(1000000820,'9'),
(1000000821,'21'),
(1000000821,'22'),
(1000000822,'30'),
(1000000822,'10'),
(1000000822,'28'),
(1000000823,'23'),
(1000000823,'11'),
(1000000824,'12'),
(1000000824,'29'),
(1000000824,'13'),
(1000000825,'14'),
(1000000825,'15'),
(1000000826,'24'),
(1000000826,'25'),
(1000000827,'1'),
(1000000827,'2'),
(1000000827,'26'),
(1000000828,'16'),
(1000000828,'17'),
(1000000829,'3'),
(1000000829,'4'),
(1000000830,'5'),
(1000000831,'18'),
(1000000832,'6'),
(1000000833,'7'),
(1000000834,'19'),
(1000000834,'20'),
(1000000835,'27'),
(1000000835,'8'),
(1000000836,'9'),
(1000000836,'21'),
(1000000836,'22'),
(1000000837,'30'),
(1000000837,'10'),
(1000000837,'28'),
(1000000838,'23'),
(1000000838,'11'),
(1000000839,'12'),
(1000000839,'29'),
(1000000840,'13'),
(1000000840,'14'),
(1000000840,'15'),
(1000000841,'24'),
(1000000841,'25'),
(1000000841,'1'),
